content,wording,student_id,prompt_id,text,tokenize_length,fold
-1.2175449,-1.2291287,ad7245db300c,39c16e,The main person is a likable person that is neither good nor bad but his fortune goes from good to bad from an error or frailty ,28,0
-1.27182,-1.2586993,ac8891e90289,39c16e,"a complex twisting plot that makes you feel pity for the character and fear of becoming the pitied, also the change in fortune of the charter ",29,0
-1.1557678,-1.2153633,c4433d2e4905,39c16e,An ideal tragedy as described by Aristotle would be a plot that goes from good to bad with a man that is neither good nor evil.,29,0
-1.0918669,-1.201664,551c0f2ac3de,39c16e,"An ideal tragedy must have a  complex  plot,  an unhappy ending and the plot should also go from good to bad and not bad to good.",30,0
-1.1789396,-1.2612237,fdffa41d7cdd,39c16e,"It should not be simple,  it should have one plot, and the change of fortune should be good to bad due to an error or weakness",30,0
-1.1590866,-1.2639354,1732b9c702c1,39c16e,Aristole believed tragedies should follow a hard play should copy actions which excite shame and fear and should feature a character who is not very good. ,30,0
-1.1125335,-1.2659948,e16cafc1509a,39c16e,"At least 3 elements of an ideal tragedy described by Aristotle is that it should have a complex plan , a well constructed plot and a character.",30,0
-1.0933354,-1.0407343,6018d3d644ff,39c16e,A tragedy may not satisfy the moral sense nor will it call forth pity or fear. Neither should the downfall of the utter villain be exhibited. ,30,0
-1.1744523,-1.2922341,33e2a2543c2d,39c16e,"Three elements of an ideal tragedy is the complexity of it, the prosperity of a main character and a change of fortune from good to bad.",30,0
-1.0222919,-1.1879402,e2b2598c6025,39c16e,"Three elements of an ideal tragedy would include death or multiple deaths, a single issue plot, and it should induce pity and fear into the audience.",31,0
-1.0963466,-1.2322153,3ffce719094a,39c16e,"A good tragedy should display the downfall of a character based on a mistake, should be of a single plot, and will be tragic and comedic. ",31,0
-1.1885571,-1.2306745,5008bb3178a0,39c16e,At tradgedy should have a complex storyline and plot while invoking pity and fear in the audience and only follow one story from good to bad. ,31,0
-0.97893167,-0.79980516,77f770ddbb3b,39c16e,Should be arranged for not a simple plot but a complex one. It should resemble actions that excite fear or pity. And it merely shocks the reader,31,0
-1.1270028,-1.1739218,d31f305eebeb,39c16e,"Three elements of a tragedy would be to have a complex plan, the tragedy should relate to problems everyone has, and should be sort of comedic. ",31,0
-1.08141,-1.209929,668d8708e907,39c16e,"An ideal tragedy must include actions that excite pity and fair, the downfall of man that the audience can relate to, and must suffer something terrible.",31,0
-1.2027963,-1.1562557,cd2007dbc79a,39c16e,"second rank comes the kind of tragedy which some place first. Like the Odyssey, it has a double thread of plot, and also an opposite catastrophe",31,0
-0.9580493,-0.90873927,820f52365906,39c16e,An ideal tragedy should be on the complex plane. The characters should be neither evil nor good. And the downfall should of some sort of frailty.,31,0
-1.0638667,-0.8124866,82a357fd23a6,39c16e,it has a morally neutral man. the aforementioned man loses everything due to a mistake. he has to be relatable and his end has to be tragic,31,0
-0.983663,-0.7054739,2d43c6966180,39c16e,"it should be a complex story, that swings the audiences emotions as they follow it. it should also have a change in mood throughout the story.",31,0
-1.0755805,-1.0137355,11f5c9c78d53,39c16e,The tragedy should be arranged not as a simple plan but a complex plan.  it should express pity and fear and follow plainly in the first place.,31,0
-0.9246531,-0.73399407,b86fbee303fe,39c16e,An ideal tragedy cannot be extreme because all it will do will shock the audience. It should have a plan and be able to alarm the reader.,31,0
-1.1593325,-1.263469,b982a3c8ccdc,39c16e,"The three elements of an ideal tragedy are the downfall of character, the recognition of their downfall, and  the change of fortune from good to bad. ",31,0
-1.3152438,-1.3007231,ab655587a46e,39c16e,"Can be more Alien to the sprit of tragedy, a tragedy then to be perfect for rules of art, thence dervish is not true tragic pleasure ",31,0
-1.2011667,-1.1876688,fa60cb9cef3f,39c16e,One element of an ideal tradgedy is the downfall of a man who has made mistakes and those mistakes are why he is having a downfall.,31,0
-1.1094877,-1.2066662,a41bc69f837b,39c16e,"An ideal tragedy should have a single threaded plot, the main character should not be good or bad, and it should not have a happy ending.",31,0
-1.1343825,-1.1518384,7949ef629508,39c16e,"An ideal tradegy needs to have a tragic ending, it needs to have the downfall of someone, and it needs a person you can relate to.",32,0
-1.1166114,-1.247933,799844de92b1,39c16e,"An ideal tragedy should imitate actions which excite pity and fear, the aspect of the character which ultimately leads to their downfall, it contains rhythm and harmony. ",32,0
-0.8618898,-0.74554235,70532e0e84cb,39c16e,An ideal tragedy should be arranged in a complex plan. It should have actions that attract pity and fear. There would be a change of fortune involved.,32,0
-0.8968928,-0.8755705,42a3154d4059,39c16e,"An ideal tragedy should ""be arranged not on the simple but on the complex plan."" It should also  imitate actions that excite pity and also fear. ",32,0
-1.0959826,-0.9992528,41423761a3ec,39c16e,"A perfect tragedy should be arranged not on the simple but more complex plan, it should imitate actions which excite pity and fear. It should follow plainly.",32,0
-1.338516,-1.3171028,3d1786dfeca6,39c16e,"a tradegy is when the ending is posiste, this is not a good or bad man that goes through tough times, its not simple its complex",32,0
-1.1494194,-1.2618923,34f3d100fc4f,39c16e,"Tragedy should be built up over the course of the story, should give senses of pity and fear, and should be general misfortune to the virtuous characters.",32,0
-1.1153119,-1.1890522,34ea4e110d24,39c16e,"3 elements of a tragedy are a complex plot, create fear and pity in the audience, and feature a relatable character who is neither evil nor saintly.",32,0
-1.1255441,-0.87870705,2c3086b8a0e8,39c16e,"It doesnt always have to end on death. It may not be simple, but complex, and the change of fortune should be for good to bad.",32,0
-1.2199132,-1.2558057,2b83c2416faa,39c16e,"It should imitate actions which excite pity and fear, It should come about as the result not of vice, but of some great error or fraility.",32,0
-1.0191299,-0.95304924,29c24abaabad,39c16e,"An ideal tragedy should be arranged on a complex plan. It should imitate actions that excite fear and pity, which is a distinctive mark of tragic imitation. ",32,0
-1.074905,-1.1350609,87016175608b,39c16e,"A good tragedy should have a complex plot,  the downfall of a man that the reader/viewer can relate to, and it should not be comedic.",32,0
-1.0508459,-0.9380986,16d5a5e70824,39c16e,There should be some comedy in the tragedy. There should be a change in fortune in the tragedy. There should also be a downfall in the tragedy.,32,0
